,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Septal.Ratio,Petal.Ratio
0,5.1,3.5,1.4,0.2,setosa,1.457142857142857,6.999999999999999
1,4.9,3.0,1.4,0.2,setosa,1.6333333333333335,6.999999999999999
2,4.7,3.2,1.3,0.2,setosa,1.46875,6.5
3,4.6,3.1,1.5,0.2,setosa,1.4838709677419353,7.5
4,5.0,3.6,1.4,0.2,setosa,1.3888888888888888,6.999999999999999
5,5.4,3.9,1.7,0.4,setosa,1.3846153846153848,4.25
6,4.6,3.4,1.4,0.3,setosa,1.352941176470588,4.666666666666667
7,5.0,3.4,1.5,0.2,setosa,1.4705882352941178,7.5
8,4.4,2.9,1.4,0.2,setosa,1.517241379310345,6.999999999999999
9,4.9,3.1,1.5,0.1,setosa,1.5806451612903227,15.0
10,5.4,3.7,1.5,0.2,setosa,1.4594594594594594,7.5
11,4.8,3.4,1.6,0.2,setosa,1.411764705882353,8.0
12,4.8,3.0,1.4,0.1,setosa,1.5999999999999999,13.999999999999998
13,4.3,3.0,1.1,0.1,setosa,1.4333333333333333,11.0
14,5.8,4.0,1.2,0.2,setosa,1.45,5.999999999999999
15,5.7,4.4,1.5,0.4,setosa,1.2954545454545454,3.75
16,5.4,3.9,1.3,0.4,setosa,1.3846153846153848,3.25
17,5.1,3.5,1.4,0.3,setosa,1.457142857142857,4.666666666666667
18,5.7,3.8,1.7,0.3,setosa,1.5000000000000002,5.666666666666667
19,5.1,3.8,1.5,0.3,setosa,1.3421052631578947,5.0
20,5.4,3.4,1.7,0.2,setosa,1.5882352941176472,8.5
21,5.1,3.7,1.5,0.4,setosa,1.3783783783783783,3.75
22,4.6,3.6,1.0,0.2,setosa,1.2777777777777777,5.0
23,5.1,3.3,1.7,0.5,setosa,1.5454545454545454,3.4
24,4.8,3.4,1.9,0.2,setosa,1.411764705882353,9.499999999999998
25,5.0,3.0,1.6,0.2,setosa,1.6666666666666667,8.0
26,5.0,3.4,1.6,0.4,setosa,1.4705882352941178,4.0
27,5.2,3.5,1.5,0.2,setosa,1.4857142857142858,7.5
28,5.2,3.4,1.4,0.2,setosa,1.5294117647058825,6.999999999999999
29,4.7,3.2,1.6,0.2,setosa,1.46875,8.0
30,4.8,3.1,1.6,0.2,setosa,1.5483870967741935,8.0
31,5.4,3.4,1.5,0.4,setosa,1.5882352941176472,3.75
32,5.2,4.1,1.5,0.1,setosa,1.2682926829268295,15.0
33,5.5,4.2,1.4,0.2,setosa,1.3095238095238095,6.999999999999999
34,4.9,3.1,1.5,0.2,setosa,1.5806451612903227,7.5
35,5.0,3.2,1.2,0.2,setosa,1.5625,5.999999999999999
36,5.5,3.5,1.3,0.2,setosa,1.5714285714285714,6.5
37,4.9,3.6,1.4,0.1,setosa,1.3611111111111112,13.999999999999998
38,4.4,3.0,1.3,0.2,setosa,1.4666666666666668,6.5
39,5.1,3.4,1.5,0.2,setosa,1.5,7.5
40,5.0,3.5,1.3,0.3,setosa,1.4285714285714286,4.333333333333334
41,4.5,2.3,1.3,0.3,setosa,1.956521739130435,4.333333333333334
42,4.4,3.2,1.3,0.2,setosa,1.375,6.5
43,5.0,3.5,1.6,0.6,setosa,1.4285714285714286,2.666666666666667
44,5.1,3.8,1.9,0.4,setosa,1.3421052631578947,4.749999999999999
45,4.8,3.0,1.4,0.3,setosa,1.5999999999999999,4.666666666666667
46,5.1,3.8,1.6,0.2,setosa,1.3421052631578947,8.0
47,4.6,3.2,1.4,0.2,setosa,1.4374999999999998,6.999999999999999
48,5.3,3.7,1.5,0.2,setosa,1.4324324324324322,7.5
49,5.0,3.3,1.4,0.2,setosa,1.5151515151515151,6.999999999999999
50,7.0,3.2,4.7,1.4,versicolor,2.1875,3.3571428571428577
51,6.4,3.2,4.5,1.5,versicolor,2.0,3.0
52,6.9,3.1,4.9,1.5,versicolor,2.2258064516129035,3.266666666666667
53,5.5,2.3,4.0,1.3,versicolor,2.3913043478260874,3.0769230769230766
54,6.5,2.8,4.6,1.5,versicolor,2.3214285714285716,3.0666666666666664
55,5.7,2.8,4.5,1.3,versicolor,2.035714285714286,3.4615384615384612
56,6.3,3.3,4.7,1.6,versicolor,1.9090909090909092,2.9375
57,4.9,2.4,3.3,1.0,versicolor,2.041666666666667,3.3
58,6.6,2.9,4.6,1.3,versicolor,2.2758620689655173,3.538461538461538
59,5.2,2.7,3.9,1.4,versicolor,1.9259259259259258,2.785714285714286
60,5.0,2.0,3.5,1.0,versicolor,2.5,3.5
61,5.9,3.0,4.2,1.5,versicolor,1.9666666666666668,2.8000000000000003
62,6.0,2.2,4.0,1.0,versicolor,2.727272727272727,4.0
63,6.1,2.9,4.7,1.4,versicolor,2.103448275862069,3.3571428571428577
64,5.6,2.9,3.6,1.3,versicolor,1.9310344827586206,2.769230769230769
65,6.7,3.1,4.4,1.4,versicolor,2.161290322580645,3.1428571428571432
66,5.6,3.0,4.5,1.5,versicolor,1.8666666666666665,3.0
67,5.8,2.7,4.1,1.0,versicolor,2.148148148148148,4.1
68,6.2,2.2,4.5,1.5,versicolor,2.818181818181818,3.0
69,5.6,2.5,3.9,1.1,versicolor,2.2399999999999998,3.545454545454545
70,5.9,3.2,4.8,1.8,versicolor,1.84375,2.6666666666666665
71,6.1,2.8,4.0,1.3,versicolor,2.1785714285714284,3.0769230769230766
72,6.3,2.5,4.9,1.5,versicolor,2.52,3.266666666666667
73,6.1,2.8,4.7,1.2,versicolor,2.1785714285714284,3.916666666666667
74,6.4,2.9,4.3,1.3,versicolor,2.206896551724138,3.3076923076923075
75,6.6,3.0,4.4,1.4,versicolor,2.1999999999999997,3.1428571428571432
76,6.8,2.8,4.8,1.4,versicolor,2.428571428571429,3.428571428571429
77,6.7,3.0,5.0,1.7,versicolor,2.2333333333333334,2.9411764705882355
78,6.0,2.9,4.5,1.5,versicolor,2.0689655172413794,3.0
79,5.7,2.6,3.5,1.0,versicolor,2.1923076923076925,3.5
80,5.5,2.4,3.8,1.1,versicolor,2.291666666666667,3.454545454545454
81,5.5,2.4,3.7,1.0,versicolor,2.291666666666667,3.7
82,5.8,2.7,3.9,1.2,versicolor,2.148148148148148,3.25
83,6.0,2.7,5.1,1.6,versicolor,2.222222222222222,3.1874999999999996
84,5.4,3.0,4.5,1.5,versicolor,1.8,3.0
85,6.0,3.4,4.5,1.6,versicolor,1.7647058823529411,2.8125
86,6.7,3.1,4.7,1.5,versicolor,2.161290322580645,3.1333333333333333
87,6.3,2.3,4.4,1.3,versicolor,2.739130434782609,3.3846153846153846
88,5.6,3.0,4.1,1.3,versicolor,1.8666666666666665,3.1538461538461533
89,5.5,2.5,4.0,1.3,versicolor,2.2,3.0769230769230766
90,5.5,2.6,4.4,1.2,versicolor,2.1153846153846154,3.666666666666667
91,6.1,3.0,4.6,1.4,versicolor,2.033333333333333,3.2857142857142856
92,5.8,2.6,4.0,1.2,versicolor,2.230769230769231,3.3333333333333335
93,5.0,2.3,3.3,1.0,versicolor,2.173913043478261,3.3
94,5.6,2.7,4.2,1.3,versicolor,2.074074074074074,3.230769230769231
95,5.7,3.0,4.2,1.2,versicolor,1.9000000000000001,3.5000000000000004
96,5.7,2.9,4.2,1.3,versicolor,1.9655172413793105,3.230769230769231
97,6.2,2.9,4.3,1.3,versicolor,2.137931034482759,3.3076923076923075
98,5.1,2.5,3.0,1.1,versicolor,2.04,2.727272727272727
99,5.7,2.8,4.1,1.3,versicolor,2.035714285714286,3.1538461538461533
100,6.3,3.3,6.0,2.5,virginica,1.9090909090909092,2.4
101,5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894
102,7.1,3.0,5.9,2.1,virginica,2.3666666666666667,2.8095238095238098
103,6.3,2.9,5.6,1.8,virginica,2.1724137931034484,3.1111111111111107
104,6.5,3.0,5.8,2.2,virginica,2.1666666666666665,2.6363636363636362
105,7.6,3.0,6.6,2.1,virginica,2.533333333333333,3.1428571428571423
106,4.9,2.5,4.5,1.7,virginica,1.9600000000000002,2.6470588235294117
107,7.3,2.9,6.3,1.8,virginica,2.5172413793103448,3.5
108,6.7,2.5,5.8,1.8,virginica,2.68,3.222222222222222
109,7.2,3.6,6.1,2.5,virginica,2.0,2.44
110,6.5,3.2,5.1,2.0,virginica,2.03125,2.55
111,6.4,2.7,5.3,1.9,virginica,2.3703703703703702,2.7894736842105265
112,6.8,3.0,5.5,2.1,virginica,2.2666666666666666,2.619047619047619
113,5.7,2.5,5.0,2.0,virginica,2.2800000000000002,2.5
114,5.8,2.8,5.1,2.4,virginica,2.0714285714285716,2.125
115,6.4,3.2,5.3,2.3,virginica,2.0,2.3043478260869565
116,6.5,3.0,5.5,1.8,virginica,2.1666666666666665,3.0555555555555554
117,7.7,3.8,6.7,2.2,virginica,2.0263157894736845,3.0454545454545454
118,7.7,2.6,6.9,2.3,virginica,2.9615384615384617,3.0000000000000004
119,6.0,2.2,5.0,1.5,virginica,2.727272727272727,3.3333333333333335
120,6.9,3.2,5.7,2.3,virginica,2.15625,2.4782608695652177
121,5.6,2.8,4.9,2.0,virginica,2.0,2.45
122,7.7,2.8,6.7,2.0,virginica,2.7500000000000004,3.35
123,6.3,2.7,4.9,1.8,virginica,2.333333333333333,2.7222222222222223
124,6.7,3.3,5.7,2.1,virginica,2.0303030303030303,2.7142857142857144
125,7.2,3.2,6.0,1.8,virginica,2.25,3.333333333333333
126,6.2,2.8,4.8,1.8,virginica,2.2142857142857144,2.6666666666666665
127,6.1,3.0,4.9,1.8,virginica,2.033333333333333,2.7222222222222223
128,6.4,2.8,5.6,2.1,virginica,2.285714285714286,2.6666666666666665
129,7.2,3.0,5.8,1.6,virginica,2.4,3.6249999999999996
130,7.4,2.8,6.1,1.9,virginica,2.6428571428571432,3.2105263157894735
131,7.9,3.8,6.4,2.0,virginica,2.0789473684210527,3.2
132,6.4,2.8,5.6,2.2,virginica,2.285714285714286,2.545454545454545
133,6.3,2.8,5.1,1.5,virginica,2.25,3.4
134,6.1,2.6,5.6,1.4,virginica,2.346153846153846,4.0
135,7.7,3.0,6.1,2.3,virginica,2.566666666666667,2.6521739130434785
136,6.3,3.4,5.6,2.4,virginica,1.8529411764705883,2.3333333333333335
137,6.4,3.1,5.5,1.8,virginica,2.064516129032258,3.0555555555555554
138,6.0,3.0,4.8,1.8,virginica,2.0,2.6666666666666665
139,6.9,3.1,5.4,2.1,virginica,2.2258064516129035,2.5714285714285716
140,6.7,3.1,5.6,2.4,virginica,2.161290322580645,2.3333333333333335
141,6.9,3.1,5.1,2.3,virginica,2.2258064516129035,2.217391304347826
142,5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894
143,6.8,3.2,5.9,2.3,virginica,2.125,2.565217391304348
144,6.7,3.3,5.7,2.5,virginica,2.0303030303030303,2.2800000000000002
145,6.7,3.0,5.2,2.3,virginica,2.2333333333333334,2.2608695652173916
146,6.3,2.5,5.0,1.9,virginica,2.52,2.6315789473684212
147,6.5,3.0,5.2,2.0,virginica,2.1666666666666665,2.6
148,6.2,3.4,5.4,2.3,virginica,1.823529411764706,2.347826086956522
149,5.9,3.0,5.1,1.8,virginica,1.9666666666666668,2.833333333333333
